cgl_locus,cg_locus,gene_name,product
Cgl0467,cg0552,menD,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)
Cgl0002,cg0002,,Uncharacterized protein
Cgl2351,cg2582,,Ribosomal silencing factor RsfS
Cgl2557,,,
Cgl0488,cg0576,rpoB,DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)
Cgl1749,cg1969,,Uncharacterized protein
Cgl1352,cg1524,,Hypothetical membrane protein
Cgl0518,,,Uncharacterized protein
Cgl1837,cg2058,,Uncharacterized protein
Cgl1527,cg1722,,Histone acetyltransferase HPA2 and related acetyltransferases
Cgl1966,cg2156,,Uncharacterized protein
Cgl1626,cg1832,,"ABC-type transporter, permease components"
Cgl0380,cg0455,,Permeases of the major facilitator superfamily
Cgl0180,cg0222,,Hypothetical membrane protein
Cgl1312,cg1484,,Secreted protein
Cgl2281,,,
Cgl2495,cg2743,fas-IA,3-oxoacyl-(Acyl-carrier-protein) synthase (EC 2.3.1.85)
Cgl0730,cg0837,,Uncharacterized protein
Cgl1605,cg1809,,DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
Cgl1734,cg1951,tnp14a(ISCg14a),Transposase
Cgl2710,cg3000,,Rhodanese-related sulfurtransferases
Cgl2424,cg2659,,Uncharacterized membrane protein
Cgl2953,cg3269,,Uncharacterized protein
Cgl1415,cg1603,,SteA-like C-terminal domain-containing protein
Cgl2220,cg2437,thrC,Threonine synthase (TS) (EC 4.2.3.1)
Cgl2224,,,
Cgl0953,cg1089,,"ABC-type transporter, ATPase component and permease component"
Cgl0794,cg0905,psp2,LGFP repeat-containing protein
Cgl1911,cg2092,sigA,RNA polymerase sigma factor SigA
Cgl0043,cg0060,pbpA,Cell division protein FtsI/penicillin-binding protein 2
Cgl1908,cg2089,,DUF4193 domain-containing protein
Cgl0898,,,
Cgl2123,cg2330,,Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)
Cgl1718,cg1935,gntR2,Transcriptional regulators
Cgl2369,cg2602,,Uncharacterized ACR
Cgl2098,cg2301,,Permeases of the major facilitator superfamily
Cgl0125,cg0161,,Hypothetical membrane protein
Cgl0557,,,Uncharacterized protein
Cgl1844,cg2065,,Helicase ATP-binding domain-containing protein
Cgl2327-2,,,
Cgl2825,cg3127,,Uncharacterized BCR
Cgl2313,cg2540,,Hypothetical membrane protein
Cgl1801,cg2021,,Hypothetical membrane protein
Cgl0265,cg0322,,Hypothetical membrane protein
Cgl2160,cg2371,murD,UDP-N-acetylmuramoylalanine-D-glutamate ligase (EC 6.3.2.9)
Cgl1812,cg2032,,Hypothetical membrane protein
Cgl1699,cg1914,,Uncharacterized protein
Cgl1970,cg2160,,Ribonuclease J (RNase J) (EC 3.1.-.-)
Cgl1302,,,Secreted protein
Cgl0909,cg1037,,Resuscitation-promoting factor Rpf2 (EC 3.-.-.-)
Cgl1975,cg2166,gpsI,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)
Cgl1196,cg1351,moeA3,Molybdopterin molybdenumtransferase (EC 2.10.1.1)
Cgl2028,cg2224,xerC,Tyrosine recombinase XerC
Cgl2036,,,Secreted protein
Cgl1795,cg2015,,Uncharacterized protein
Cgl1998,cg2189,cobA,uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)
Cgl2416,cg2649,,Beta-lactamase class C and other penicillin binding proteins
Cgl1122,cg1273,,Sec-independent protein translocase protein TatB
Cgl0606,cg0702,,Transcriptional regulator
Cgl1775,cg1995,,DNA-directed RNA polymerase (EC 2.7.7.6)
Cgl1823,cg2043,,Periplasmic serine proteases (ClpP class)
Cgl0840,cg0962,,Lipoprotein
Cgl0892-2,,,
Cgl1570,,,Uncharacterized protein
Cgl0404,cg0484,cgtR4,Sensory transduction protein RegX3
Cgl2538,cg2796,,Uncharacterized protein involved in propionate catabolism
Cgl0326,cg0395,,RNase H type-1 domain-containing protein
Cgl1120,cg1271,sigE,"DNA-directed RNA polymerase specialized sigma subunits, sigma24 homologs"
Cgl1303,cg1474,,Double-GTPase 2 domain-containing protein
Cgl0614,cg0711,,Hypothetical membrane protein
Cgl0913,cg1041,pdxK,Pyridoxal/pyridoxine/pyridoxamine kinase (EC 2.7.1.35)
Cgl2130,cg2338,dnaE1,DNA-directed DNA polymerase (EC 2.7.7.7)
Cgl2199,cg2413,cobU,Adenosylcobinamide kinase (EC 2.7.1.156) (EC 2.7.7.62) (Adenosylcobinamide-phosphate guanylyltransferase)
Cgl1988,cg2180,,DUF4439 domain-containing protein
Cgl0836,cg0957,fas-IB,3-oxoacyl-(Acyl-carrier-protein) synthase (EC 2.3.1.85)
Cgl2843,cg3148,,"ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components"
Cgl0228,cg0281,,tRNA-specific adenosine deaminase (EC 3.5.4.33)
Cgl1195,cg1350,mob,Molybdopterin-guanine dinucleotide biosynthesis protein A
Cgl1342,cg1514,tnp23a(ISCg23a),SCP domain-containing protein
Cgl1630,cg1836,,Endolytic murein transglycosylase (EC 4.2.2.-) (Peptidoglycan polymerization terminase)
Cgl1565,cg1765,sufR,Predicted transcriptional regulator
Cgl0227,cg0280,,tRNA adenosine deaminase
Cgl2459,cg2703,,"ABC-type transporter, permease components"
Cgl0596,cg0689,,Uncharacterized protein
Cgl0203,cg0251,,NADPH:quinone reductase and related Zn-dependent oxidoreductases
Cgl0538,cg0629,rplF,Large ribosomal subunit protein uL6 (50S ribosomal protein L6)
Cgl0775,cg0885,,DNA 3'-5' helicase (EC 5.6.2.4)
Cgl0388,cg0466,,Hypothetical membrane protein
Cgl1649,cg1857,ppiB,Peptidyl-prolyl cis-trans isomerase (Rotamase)-cyclophilin family (EC 5.2.1.8)
Cgl2521,cg2778,,peptidyl-tRNA hydrolase (EC 3.1.1.29)
Cgl2210,cg2424,,Hypothetical membrane protein
Cgl1156,cg1307,,ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A)
Cgl1444,cg1633,,Predicted transcriptional regulators
Cgl0793,cg0903,,Uncharacterized protein
Cgl0001,cg0001,dnaA,Chromosomal replication initiator protein DnaA
Cgl0102,cg0134,,Peptidase M20 domain-containing protein 2
Cgl0184,cg0229,gltB,Glutamine 2-oxoglutarate aminotransferase large subunit (EC 1.4.1.13)
Cgl0234,cg0287,,DUF1611 domain-containing protein
Cgl0291,cg0350,glxR,CRP-like cAMP-activated global transcriptional regulator (cAMP receptor protein) (CRP) (cAMP regulatory protein)
Cgl0421,cg0501,,Permeases of the major facilitator superfamily
Cgl0555,cg0647,secY,Protein translocase subunit SecY
Cgl0632,cg0732,,"ABC-type transporter, permease components"
Cgl0711,cg0816,purK,N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)
Cgl0786,cg0896,,UPF0182 protein Cgl0786/cg0896
Cgl0886,cg1009,,Cyanate permease
Cgl1116,cg1267,,beta-fructofuranosidase (EC 3.2.1.26)
Cgl0008,cg0009,,Hypothetical membrane protein
Cgl0105,cg0138,,Uncharacterized protein
Cgl0185,cg0230,gltD,Glutamine 2-oxoglutarate aminotransferase small subunit (EC 1.4.1.13)
Cgl0240,cg0294,aspB,Aspartate aminotransferase (AspAT) (EC 2.6.1.1)
Cgl0335,cg0404,,Nitroreductase (EC 1.6.99.3)
Cgl0428,cg0508,,"ABC-type transporter, periplasmic component"
Cgl0575,cg0665,,Subtilisin-like serine proteases
Cgl0575,cg0666,,Subtilisin-like serine proteases
Cgl0654,cg0756,cstA,"Carbon starvation protein, predicted membrane protein"
Cgl0718,,,
Cgl0798,cg0909,,Uncharacterized protein
Cgl0888,cg1011,,Hypothetical membrane protein
Cgl1126,cg1277,,Hypothetical membrane protein
Cgl0042,cg0059,pknA,Serine/threonine-protein kinases PknA (EC 2.7.11.1)
Cgl0110,cg0144,rbtT,Hypothetical membrane protein
Cgl0186,cg0233,,Glutamate--cysteine ligase
Cgl0248,cg0303,leuA,2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)
Cgl0344,cg0414,wzz,ATPases involved in chromosome partitioning
Cgl0450,cg0533,menE,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II
Cgl0577,cg0668,,DNA segregation ATPase FtsK/SpoIIIE and related proteins
Cgl0656,cg0758,,Uncharacterized protein
Cgl0731,cg0838,,Distinct helicase family with a unique C-terminal domain including a metal-binding cysteine cluster
Cgl0826,cg0946,,Uncharacterized protein
Cgl1064,cg1211,oasR,Transcriptional regulators
Cgl1129,cg1280,odhA,2-oxoglutarate dehydrogenase E1/E2 component (ODH E1/E2 component) [Includes: 2-oxoglutarate dehydrogenase E1 component (ODH E1 component) (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase E1 component) (KDH E1 component); Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex E2 component) (ODH E2 component) (OGDC-E2) (Dihydrolipoamide succinyltransferase)]
Cgl0051,cg0067,gabD3,NAD-dependent aldehyde dehydrogenases (EC 1.2.1.16)
Cgl0112,cg0147,xylB,Xylulose kinase (Xylulokinase) (EC 2.7.1.17)
Cgl0187,cg0235,embC,Hypothetical membrane protein
Cgl0256,,,Uncharacterized protein
Cgl0351,cg0421,wzx,Membrane protein involved in the export of O-antigen and teichoic acid
Cgl0478,cg0565,gabR,Regulator of polyketide synthase expression
Cgl0581,cg0673,rplM,Large ribosomal subunit protein uL13 (50S ribosomal protein L13)
Cgl0680,cg0782,dac,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
Cgl0735,cg0842,,DNA 3'-5' helicase (EC 5.6.2.4)
Cgl0828,cg0948,serC,Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)
Cgl1028,cg1166,,Predicted permease
Cgl1131,cg1282,,Hypothetical membrane protein
Cgl0052,cg0071,,"Zn-dependent hydrolases, including glyoxylases"
Cgl0118,cg0153,hde,Esterase/lipase
Cgl0190,cg0238,,FAD/FMN-containing dehydrogenases
Cgl0263,cg0319,arsX,Arsenate-mycothiol transferase ArsC2 (EC 2.8.4.2) (Mycothiol-dependent arsenate reductase ArsC2)
Cgl0358,cg0431,,Hypothetical membrane protein
Cgl0489,cg0577,rpoC,DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')
Cgl0585,cg0678,,Zinc metalloprotease
Cgl0694,cg0796,prpD1,2-methylcitrate dehydratase 1 (2-MC dehydratase) (EC 4.2.1.79)
Cgl0739,cg0845,,"Superfamily II DNA/RNA helicases, SNF2 family"
Cgl0829,cg0949,gltA,Citrate synthase (EC 2.3.3.16)
Cgl1038,cg1179,,Diguanylate cyclase/phosphodiesterase domain 2 (EAL)
Cgl1133,cg1284,lipT,Carboxylic ester hydrolase (EC 3.1.1.-)
Cgl0065,cg0085,phoH1,Predicted ATPase related to phosphate starvation-inducible protein PhoH
Cgl0127,cg0163,,"Glycosyltransferases, probably involved in cell wall biogenesis"
Cgl0196,cg0244,,Hypothetical membrane protein
Cgl0270,cg0327,,Predicted membrane protein
Cgl0360,cg0435,udgA1,UDP-glucose 6-dehydrogenase (EC 1.1.1.22)
Cgl0493,cg0581,rpsL,Small ribosomal subunit protein uS12 (30S ribosomal protein S12)
Cgl0598,cg0693,groEL,Chaperonin GroEL 1 (EC 5.6.1.7) (60 kDa chaperonin 1) (Chaperonin-60 1) (Cpn60 1)
Cgl0598,cg0691,groEL',Chaperonin GroEL 1 (EC 5.6.1.7) (60 kDa chaperonin 1) (Chaperonin-60 1) (Cpn60 1)
Cgl0696,cg0798,prpC1,2-methylcitrate synthase 1 (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase 1) (CS) (EC 2.3.3.16)
Cgl0746,cg0854,pmmA,Phosphomannomutase (EC 5.4.2.8)
Cgl0831,cg0951,accDA,Acetyl-CoA carboxylase beta subunit (EC 6.4.1.2)
Cgl1056,cg1202,,VWFA domain-containing protein
Cgl1137,cg1288,,Permeases of the major facilitator superfamily
Cgl0068,cg0089,citA,histidine kinase (EC 2.7.13.3)
Cgl0141,cg0178,hrpB,HrpA-like helicases
Cgl0206,cg0254,,Na+/alanine symporter
Cgl0273,cg0331,cgtS1,histidine kinase (EC 2.7.13.3)
Cgl0369,cg0444,ramB,HTH-type transcriptional regulator RamB (Regulator of acetate metabolism B) (RamB)
Cgl0496,cg0583,fusA,Uncharacterized protein
Cgl0607,cg0703,guaA,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)
Cgl0707,cg0811,dtsR2,Detergent sensitivity rescuer dtsR2
Cgl0756,cg0865,,Lipoprotein LpqB
Cgl0846,cg0968,,Lhr-like helicases
Cgl1003,cg1140,,Allophanate hydrolase subunit 1
Cgl1141,cg1292,,Trimethylamine monooxygenase (EC 1.14.13.148)
Cgl0101,cg0133,,p-aminobenzoyl-glutamate transporter
Cgl0182,,,
Cgl0222,cg0273,,Zn-dependent alcohol dehydrogenases (EC 1.1.1.1)
Cgl0284,cg0341,phdA(fadD1),Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II (EC 6.2.1.3)
Cgl0371,cg0446,sdhA,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunits"
Cgl0552,cg0644,,"Phosphoenolpyruvate synthase (EC 2.7.9.2) (Pyruvate, water dikinase)"
Cgl0629,cg0727,,Predicted nucleoside-diphosphate-sugar epimerases
Cgl0710,cg0815,,Hypothetical membrane protein
Cgl0760,cg0868,secA,Protein translocase subunit SecA 1 (EC 7.4.2.8)
Cgl0885,cg1007,,Hypothetical membrane protein
Cgl1066,,,
Cgl1145,cg1296,,Non-ribosomal peptide synthetase modules and related proteins
Cgl1147,cg1298,cydC,"ABC-type transporter, ATPase component and permease component"
Cgl1225,cg1382,glgE,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase (GMPMT) (EC 2.4.99.16) ((1->4)-alpha-D-glucan:maltose-1-phosphate alpha-D-maltosyltransferase)"
Cgl1359,cg1531,rpsA,Ribosomal protein S1
Cgl1449,cg1640,,Uncharacterized CBS domain-containing proteins
Cgl1509,cg1703,,Predicted flavoprotein involved in K+ transport (EC 1.8.1.-)
Cgl1647,cg1855,hisS,Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)
Cgl1778,cg1998,cglIIR,Stress-sensitive restriction system protein 2
Cgl2045,cg2243,,Di-and tricarboxylate transporters
Cgl2097,cg2300,hisH,Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)
Cgl2207,cg2421,sucB,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDH component E2)
Cgl2271,cg2492,glmS,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)
Cgl2484,cg2731,,Uronate isomerase (EC 5.3.1.12) (Glucuronate isomerase) (Uronic isomerase)
Cgl1153,cg1303,,8-oxo-dGTP diphosphatase (EC 3.6.1.55)
Cgl1244,cg1401,ligA,DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])
Cgl1377,cg1562,,Hypothetical membrane protein
Cgl1450,cg1641,,Superfamily II DNA and RNA helicases
Cgl1524,cg1719,tetB,"ABC-type transporter, ATPase component and permease component"
Cgl1653,cg1861,rel(relA),GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I)
Cgl1779,cg1999,,Uncharacterized protein
Cgl2046,cg2244,pcaB2,Adenylosuccinate lyase (EC 5.5.1.2)
Cgl2129,cg2337,,Methionine synthase II (Cobalamin-independent) (EC 2.1.1.14)
Cgl2209,cg2423,lipA,Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)
Cgl2298,cg2524,,"ABC-type transporter, ATPase component and permease component"
Cgl2486,,,
Cgl1155,cg1305,,Gamma-aminobutyrate permease and related permeases
Cgl1247,cg1404,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7)
Cgl1401,cg1588,argH,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)
Cgl1452,cg1643,gnd,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
Cgl1548,cg1746,,HIRAN domain-containing protein
Cgl1704,cg1919,,Hypothetical membrane protein
Cgl1781,cg2001,,Probable Zinc-ribbon domain-containing protein
Cgl2055,cg2254,,Ankyrin repeat proteins
Cgl2147,cg2358,,HEAT repeat domain-containing protein
Cgl2211,cg2425,,Uncharacterized transporter Cgl2211/cg2425
Cgl2320,cg2549,,"ABC-type transporter, periplasmic component"
Cgl2519,cg2776,dinG,Rad3-related DNA helicases
Cgl1163,cg1314,putP,Sodium/proline symporter (Proline permease)
Cgl1252,cg1411,,Ribose import ATP-binding protein RbsA (EC 7.5.2.7)
Cgl1420,cg1609,,"ABC-type transporter, duplicated ATPase component"
Cgl1473,cg1664,,Sulfate permease and related transporters (MFS superfamily)
Cgl1576,cg1778,zwf,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)
Cgl1713,cg1929,res,"Site-specific recombinases, DNA invertase Pin homologs"
Cgl1789,cg2008,,Uncharacterized protein
Cgl2059,cg2258,glnD,Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]
Cgl2157,cg2368,murC,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)
Cgl2212,,,
Cgl2322,cg2551,,"ABC-type transporter, permease components"
Cgl2549,,,
Cgl1176,cg1329,ctpC,Cation transport ATPases (EC 3.6.1.-)
Cgl1293,cg1463,gltS,Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)
Cgl1428,cg1617,,GTPase Der (GTP-binding protein EngA)
Cgl1483,cg1678,cobL,Precorrin-6B methylase 1 (EC 2.1.1.132)
Cgl1585,cg1787,ppc,Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)
Cgl1739,cg1959,priP,Predicted ATPase
Cgl1797,cg2017,,Uncharacterized protein
Cgl2077,cg2277,,"ABC-type transporter, ATPase component and permease component"
Cgl2173,cg2385,,Alpha-(1->6)-mannopyranosyltransferase A (MptA) (EC 2.4.1.-)
Cgl2214,cg2429,glnA,Glutamine synthetase (EC 6.3.1.2)
Cgl2323,cg2552,,"ABC-type transporter, duplicated ATPase component"
Cgl2552,cg2811,,"ABC-type transporter, permease components"
Cgl1178,cg1332,,Predicted hydrolases or acyltransferases (Alpha/beta hydrolase superfamily)
Cgl1325,cg1497,,Predicted kinase related to dihydroxyacetone kinase
Cgl1432,cg1621,,"ABC-type multidrug/protein/lipid transport system, ATPase component"
Cgl1487,cg1681,pepE,Xaa-Pro aminopeptidase (EC 3.4.13.9)
Cgl1602,cg1805,priA,Probable primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA)
Cgl1740,cg1960,,Uncharacterized protein
Cgl1936,cg2120,ptsF,protein-N(pi)-phosphohistidine--D-fructose phosphotransferase (EC 2.7.1.202)
Cgl2078,cg2279,,"ABC-type transporter, ATPase component and permease component"
Cgl2180,cg2393,,Hypothetical membrane protein
Cgl2235,cg2454,,Uncharacterized protein
Cgl2334,cg2563,lcoP,Betaine/ectoine transporter LcoP (Low capacity osmoregulated permease)
Cgl2584,cg2857,purF,Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)
Cgl1179,cg1333,argS,Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)
Cgl1326,cg1498,,RecG-like helicases (EC 3.6.1.-)
Cgl1433,cg1622,,"ABC-type multidrug/protein/lipid transport system, ATPase component"
Cgl1490,cg1684,tatC,Sec-independent protein translocase protein TatC
Cgl1632,cg1838,alaS,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
Cgl1756,cg1977,,Hypothetical membrane protein
Cgl1940,cg2126,,GTPase HflX (GTP-binding protein HflX)
Cgl2083,cg2285,hipO,Metal-dependent amidase/aminoacylase/carboxypeptidase (EC 3.5.1.32)
Cgl2189,cg2403,qcrB,Cytochrome bc1 complex cytochrome b subunit (EC 7.1.1.8) (Cytochrome bc1 reductase complex subunit QcrB) (Menaquinol--cytochrome c reductase cytochrome b subunit)
Cgl2239,cg2458,pgp2,Predicted phosphatases (EC 3.1.3.18)
Cgl2378,cg2611,hscA,Molecular chaperone
Cgl2598,cg2876,purB,Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)
Cgl1212,cg1368,atpD,ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
Cgl1354,cg1526,,Permeases of the major facilitator superfamily
Cgl1446,cg1636,,VWFA domain-containing protein
Cgl1497,cg1691,,AAA ATPase forming ring-shaped complexes (ARC)
Cgl1635,cg1841,aspS,Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)
Cgl1758,cg1980,,ATPase dynein-related AAA domain-containing protein
Cgl2001,cg2192,mqo,Malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])
Cgl2089,cg2291,pyk,Pyruvate kinase (PK) (EC 2.7.1.40)
Cgl2199,cg2413,cobU,Adenosylcobinamide kinase (EC 2.7.1.156) (EC 2.7.7.62) (Adenosylcobinamide-phosphate guanylyltransferase)
Cgl2265,cg2485,,Phosphodiesterase/alkaline phosphatase D (EC 3.1.3.1)
Cgl2385,cg2618,vanK,Permeases of the major facilitator superfamily
Cgl2603,cg2884,,Dipeptide/tripeptide permease
Cgl2606,cg2887,cgtS3,histidine kinase (EC 2.7.13.3)
Cgl2683,cg2969,,Acyl-CoA synthetase
Cgl2795,cg3095,,Alpha/beta hydrolase
Cgl2863,cg3169,pck,Phosphoenolpyruvate carboxykinase [GTP] (PEP carboxykinase) (PEPCK) (EC 4.1.1.32) (GTP-dependent phosphoenolpyruvate carboxykinase) (GTP-PEPCK)
Cgl2962,cg3281,,Cation transport ATPases
Cgl3087,cg3418,,Hypothetical membrane protein
Cgl2615,cg2898,,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunits (EC 1.1.1.-, EC 1.3.99.4)"
Cgl2686,cg2973,,DUF559 domain-containing protein
Cgl2801,cg3101,,Predicted permease
Cgl2917,cg3226,,Permeases of the major facilitator superfamily
Cgl2967,cg3287,,Multicopper oxidases (EC 1.10.3.2)
Cgl2671,cg2955,mutY,Adenine DNA glycosylase (EC 3.2.2.31)
Cgl2624,cg2907,otsA,"alpha,alpha-trehalose-phosphate synthase (ADP-forming) (EC 2.4.1.347)"
Cgl2687,cg2974,lysS,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)
